"id","playerid","role","name","team","year","s1","s2","s3","s4","s5","s6","s7","s8","s9","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","numqs","win","lose","save","strikeout","numofmatches","innings","strikeoutrate","numofpitches","numofbatters","hitsallowed","homerunallowed","basesonballs","hitbypitch","intentionalwalk","runsallowed","earnedruns","completegames","shutouts","nowalk","opponentsbattingaverage","qsrate","supportpoint","runsupport","whip","maxspeed","minspeed","ballspeeddifference"
"879","1100066","playerP","伊藤 拓郎","DeNA","2012","0.000","---","---","---","---","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","0.000","---","1.000","---","---","0","0","0","0","2","2","2","9.00","38","9","1","0","2","0","0","0","0","0","0","0",".167","0.00%","0","0.00","1.50","142","118","24"
"880","1000120","playerP","大原 慎司","DeNA","2012","0.333","0.444","0.000","0.235","0.143","0.000","0.000","0.471","0.143","---","---","0.500","---","---","0.000","---","0.333","0.000","0.000","0.000","0.000","0.143","0.571","0.250","0.500","0","1","0","0","20","33","35","5.14","549","143","31","2","15","0","3","7","7","0","0","0",".244","0.00%","0","0.00","1.31","144","114","30"
"881","1000120","playerP","大原 慎司","DeNA","2013","0.222","0.182","0.250","0.133","0.333","0.227","0.000","0.500","0.267","---","0.500","0.000","0.000","1.000","0.000","0.000","0.000","0.333","0.000","0.111","---","0.143","0.000","0.000","0.000","0","2","0","2","38","58","48","7.13","745","188","32","6","17","1","1","18","16","0","0","0",".194","0.00%","0","0.00","1.02","143","113","30"
"882","1000120","playerP","大原 慎司","DeNA","2014","0.250","0.667","0.375","0.278","0.545","0.077","0.182","0.143","0.200","---","---","1.000","---","---","0.000","---","0.000","0.000","---","1.000","---","0.000","1.000","0.000","0.000","0","3","1","0","28","44","32+1/3","7.79","582","143","32","1","13","2","1","18","16","0","0","0",".258","0.00%","0","0.00","1.39","142","111","31"
"883","1000120","playerP","大原 慎司","DeNA","2015","---","0.500","0.111","0.429","0.600","0.222","0.000","0.375","0.400","---","---","0.000","---","---","---","---","---","0.000","---","0.000","0.000","1.000","---","---","0.000","0","0","1","0","13","21","15+2/3","7.47","242","65","16","3","2","1","0","7","7","0","0","0",".267","0.00%","0","0.00","1.15","143","117","26"
"884","1000120","playerP","大原 慎司","DeNA","2016","0.000","0.333","0.000","0.250","0.750","0.500","0.333","0.000","0.500","---","0.000","0.000","---","---","---","---","---","0.000","---","0.000","---","---","1.000","0.000","0.000","0","0","0","0","14","16","12+2/3","9.95","243","59","15","4","6","2","1","7","7","0","0","0",".300","0.00%","0","0.00","1.66","143","112","31"
"885","12158","playerP","林 昌範","DeNA","2012","0.444","0.143","0.250","0.222","0.538","0.429","0.143","0.125","0.143","---","0.000","0.000","---","---","---","---","0.000","0.000","---","0.000","---","0.000","0.250","0.000","0.000","0","0","0","0","26","32","33","7.09","504","132","26","2","12","0","1","7","7","0","0","0",".222","0.00%","0","0.00","1.15","148","113","35"
"886","12158","playerP","林 昌範","DeNA","2013","0.000","0.667","0.000","0.333","0.333","0.500","0.000","0.000","0.667","---","0.000","---","---","---","---","---","---","---","---","---","---","0.000","0.000","0.000","---","0","0","0","0","8","14","12","6.00","183","48","9","1","4","2","1","4","4","0","0","0",".225","0.00%","0","0.00","1.08","144","113","31"
"887","12158","playerP","林 昌範","DeNA","2014","0.222","0.000","0.200","0.417","0.364","0.538","0.200","0.188","0.357","---","---","---","0.000","---","1.000","0.500","---","---","---","---","0.333","0.182","0.211","0.286","0.667","0","2","2","1","34","56","40","7.65","659","175","45","4","14","0","2","17","14","0","0","0",".290","0.00%","0","0.00","1.48","144","117","27"
"888","12158","playerP","林 昌範","DeNA","2015","0.667","0.500","0.333","0.273","0.500","0.600","0.000","0.500","0.167","---","0.000","1.000","0.000","---","0.000","---","0.000","---","0.667","---","---","0.000","0.200","0.000","---","0","1","1","0","10","24","18+2/3","4.82","350","89","26","1","6","0","1","15","15","0","0","0",".321","0.00%","0","0.00","1.71","141","120","21"
"889","500021","playerP","菊地 和正","DeNA","2012","0.083","0.182","0.300","0.318","0.235","0.214","0.357","0.176","0.273","---","0.000","0.167","0.000","---","---","0.000","0.000","0.000","0.000","0.000","0.000","0.200","0.000","0.000","1.000","0","3","2","1","19","63","49+1/3","3.47","799","204","34","2","24","2","4","15","13","0","0","0",".205","0.00%","0","0.00","1.18","148","100","48"
"890","500021","playerP","菊地 和正","DeNA","2013","0.000","0.000","0.286","0.375","0.538","0.333","0.286","0.400","0.333","---","0.000","0.333","0.000","---","---","---","---","---","0.000","0.000","---","0.250","0.200","0.800","1.000","0","0","1","0","12","24","20","5.40","341","95","28","2","7","2","0","13","11","0","0","0",".333","0.00%","0","0.00","1.75","146","111","35"
"891","500021","playerP","菊地 和正","DeNA","2014","---","0.000","---","1.000","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0","0","1","0","0","2","0+1/3","0.00","2","2","1","1","0","0","0","1","1","0","0","0",".500","0.00%","0","0.00","3.00","125","123","2"
