"id","year","league","team","防御率","先発防御率","救援防御率","勝","負","セーブ","奪三振","試合数","投球回","奪三振率","投球数","打者数","被安打","被本塁打","与四球","与死球","敬遠","失点","自責点","完投","完封","無四球","被打率","QS率","援護点","援護率","WHIP","UC打数","UC被安打","UC被打率","UC被本塁打","HP"
"100","2017","パ","オ","3.83","3.88","3.75","63","79","35","1,015","143","1275 1/3","0.09","21,405","5,393","1,214","124","425","33","8","598","543","13","5","3",".246","50.35%","369","3.74","1.29","2,163","568",".263","63","92"
"101","2017","パ","日","3.82","4.20","3.16","60","83","31","968","143","1266 2/3","0.08","21,120","5,446","1,246","147","430","38","13","596","537","6","2","3",".251","38.46%","381","3.91","1.32","2,094","541",".258","72","114"
"102","2017","パ","ロ","4.22","4.12","4.44","54","87","27","939","143","1264 2/3","0.08","21,872","5,512","1,293","143","474","48","12","647","593","11","1","3",".260","51.05%","322","3.16","1.40","2,130","568",".267","64","89"
"103","2018","パ","西","4.24","4.17","4.38","88","53","33","959","143","1277 1/3","0.08","21,941","5,515","1,230","148","501","84","5","653","602","7","2","1",".250","51.05%","590","5.85","1.36","1,868","485",".260","52","89"
"104","2018","パ","ソ","3.90","4.00","3.70","82","60","44","1,087","143","1277 2/3","0.09","22,219","5,423","1,132","163","528","63","11","579","553","6","4","1",".235","45.45%","482","4.94","1.30","2,003","456",".228","69","95"
"105","2018","パ","日","3.77","4.07","3.19","74","66","43","987","143","1275 2/3","0.09","20,979","5,405","1,242","121","350","63","22","586","535","9","3","1",".250","48.95%","439","4.40","1.25","2,207","540",".245","52","121"
"106","2018","パ","オ","3.70","3.78","3.56","65","73","37","1,029","143","1292 2/3","0.09","21,423","5,429","1,211","127","383","45","27","565","532","2","2","0",".243","52.45%","357","3.66","1.23","2,245","534",".238","54","126"
"107","2018","パ","ロ","4.05","4.22","3.72","59","81","30","908","143","1276 2/3","0.08","21,531","5,454","1,289","129","425","30","28","628","574","8","3","0",".259","46.15%","389","4.00","1.34","2,153","571",".265","60","103"
"108","2018","パ","楽","3.78","3.87","3.59","58","82","26","1,115","143","1289 1/3","0.10","22,015","5,482","1,201","143","457","51","36","583","541","10","2","2",".243","48.95%","364","3.61","1.29","2,161","552",".255","61","83"
"109","2019","パ","西","4.36","4.64","3.88","80","62","35","875","143","1281 2/3","0.08","22,321","5,623","1,313","143","499","93","10","695","621","3","2","0",".262","42.66%","537","5.66","1.41","2,089","551",".264","60","91"
"110","2019","パ","ソ","3.63","3.87","3.24","76","62","49","1,160","143","1278","0.10","22,445","5,446","1,114","137","539","67","11","564","515","3","2","0",".231","42.66%","394","4.23","1.29","2,307","527",".228","56","137"
"111","2019","パ","楽","3.74","4.17","3.07","71","68","38","1,084","143","1284 1/3","0.09","21,660","5,410","1,150","142","441","49","18","578","533","3","1","1",".235","42.66%","385","4.15","1.24","2,307","572",".248","72","150"
