"id","playerid","role","name","team","year","s1","s2","s3","s4","s5","s6","s7","s8","s9","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","ballsum","ballnoswing","strikesum","strikenoswing","strikeeirswing","plateappearance","hit","single","twobase","threebase","homerun","walk","hitbypitch","strikeout","doubleplay","atbats","sacrificeflight","allbunt","okbunt","allstolenbase","stolenbase"
"4861","1600094","playerB","田中 和基","楽天","2023","1.000","0.000","0.000","---","0.000","0.000","0.333","0.000","0.000","---","---","0.000","---","---","0.000","---","---","---","0.000","0.000","---","0.000","---","---","---","80","60","89","21","17","41","3","1","0","0","2","5","0","13","1","34","0","2","2","4","3"
"4867","1700034","playerB","山﨑 剛","楽天","2023","0.429","0.222","0.267","0.067","0.400","0.200","0.167","0.160","0.211","---","0.000","0.333","0.500","---","---","0.000","0.000","0.000","---","0.333","---","0.000","0.333","0.000","0.000","547","443","628","216","57","307","53","40","6","5","2","35","3","58","9","261","1","8","7","19","13"
"4875","1600004","playerB","堀内 謙伍","楽天","2023","---","---","0.500","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","4","4","5","0","1","3","1","1","0","0","0","1","0","0","0","2","0","0","0","0","0"
"4886","1800117","playerB","辰己 涼介","楽天","2023","0.200","0.361","0.250","0.212","0.379","0.286","0.471","0.267","0.231","---","0.111","0.000","0.200","0.000","0.000","0.000","0.000","0.500","0.000","0.375","0.000","0.000","0.143","0.000","0.000","939","717","1008","347","83","495","114","84","16","5","9","40","12","99","3","434","1","11","8","16","13"
"4890","1800122","playerB","渡邊 佳明","楽天","2023","0.000","0.000","0.286","0.000","0.000","0.000","0.500","0.000","0.250","---","0.000","0.000","---","---","---","---","---","0.000","---","---","---","0.000","0.286","1.000","---","113","80","111","28","5","57","7","7","0","0","0","5","0","7","3","49","0","3","3","0","0"
"4894","1800118","playerB","太田 光","楽天","2023","0.333","0.389","0.250","0.300","0.360","0.000","0.259","0.556","0.111","---","0.000","0.000","---","---","0.000","0.000","---","0.000","---","0.000","0.000","0.000","0.000","0.000","---","401","324","472","153","50","233","42","33","6","0","3","27","4","47","4","173","1","34","28","1","1"
"4898","1800123","playerB","小郷 裕哉","楽天","2023","0.353","0.326","0.261","0.308","0.242","0.245","0.261","0.341","0.267","---","0.286","0.000","0.200","---","---","1.000","1.000","0.333","0.000","0.000","0.000","0.182","0.214","0.200","0.000","875","670","983","356","76","441","102","73","16","3","10","36","1","85","3","390","6","10","8","20","13"
"4902","1900112","playerB","小深田 大翔","楽天","2023","0.300","0.351","0.293","0.269","0.349","0.257","0.267","0.333","0.220","---","0.000","0.143","0.000","---","---","0.000","0.000","0.000","0.000","0.286","0.000","0.000","0.077","0.154","0.000","966","781","1278","499","57","549","123","104","8","6","5","48","3","83","8","477","1","24","20","41","36"
"4905","1900113","playerB","黒川 史陽","楽天","2023","0.000","---","0.000","0.000","0.000","0.000","---","0.000","0.333","---","0.333","---","---","---","---","0.000","---","---","---","---","---","0.000","---","---","---","31","22","52","11","4","24","2","1","0","0","1","0","0","5","0","22","1","2","1","0","0"
"4911","2000121","playerB","早川 隆久","楽天","2023","---","---","---","---","0.500","---","---","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","2","2","8","2","0","3","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0"
"4912","1460250","playerB","フランコ","楽天","2023","0.357","0.440","0.176","0.217","0.325","0.154","0.179","0.208","0.167","---","0.091","0.143","0.000","0.000","0.125","---","0.000","0.333","0.143","0.000","0.000","0.000","0.000","0.000","---","584","378","543","122","63","334","69","46","11","0","12","21","1","52","11","312","0","0","0","0","0"
"4913","2103740","playerB","安田 悠馬","楽天","2023","0.500","0.000","0.167","0.091","0.211","0.368","0.000","0.500","0.273","---","0.000","0.200","0.000","---","---","0.333","---","0.000","---","0.500","---","0.000","0.000","0.000","---","286","220","279","97","15","127","24","19","2","0","3","16","1","25","5","110","0","0","0","0","0"
"4914","2106793","playerB","荘司 康誠","楽天","2023","---","---","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","1","1","4","1","0","2","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0"
"3255","700078","playerB","木村 文紀","日本ハム","2023","---","---","---","0.000","1.000","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","2","2","5","1","0","2","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0"
"3266","700065","playerB","岸 孝之","楽天","2023","---","---","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","2","1","2","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"3297","1200083","playerB","金子 侑司","西武","2023","---","0.200","0.500","0.000","0.300","0.000","0.333","0.286","0.000","---","0.500","0.000","---","0.000","0.000","0.000","---","---","---","0.250","---","0.000","0.000","0.200","0.000","140","90","207","53","25","91","15","12","2","1","0","4","1","24","2","84","1","2","1","3","1"
